x6,x06 (tented),x16 (single stroke),x26 (looped),x36 (closed),x46 (mixed)
Total,0.015,0.32,0.14,0.315,0.21
x01 (t shorter than h),1.0,0.687,0.7140000000000001,0.873,0.809
x11 (t even with h),0.0,0.031,0.036000000000000004,0.0,0.0
x21 (t taller than h),0.0,0.14300000000000002,0.036000000000000004,0.0,0.048
x31 (no set pattern),0.0,0.14300000000000002,0.214,0.20600000000000002,0.14300000000000002
x02 (retraced staff),0.0,0.281,0.214,0.317,0.262
x12 (curved right),0.33299999999999996,0.29600000000000004,0.392,0.317,0.309
x22 (curved left),0.0,0.0,0.0,0.079,0.0
x32 (both curved),0.6659999999999999,0.23399999999999999,0.142,0.095,0.16699999999999998
x42 (no pattern),0.0,0.187,0.25,0.19,0.262
x03 (rounded arch),0.17300000000000001,0.136,0.381,0.146,0.14300000000000002
x13 (pointed arch),0.693,0.682,0.5710000000000001,0.6459999999999999,0.643
x23 (no pattern),0.133,0.182,0.040999999999999995,0.207,0.214
x04 (upper staff) ,1.0,0.625,0.7859999999999999,0.746,0.738
x14 (lower staff) ,0.0,0.187,0.107,0.063,0.048
x24 (above staff) ,0.0,0.0,0.0,0.016,0.024
x34 (no pattern),0.0,0.187,0.107,0.175,0.19
